Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes1,Tot_spikes2,Tot_spikes3,Tot_spikes4,Tot_spikes5,Tot_spikes6,Tot_spikes7,Tot_spikes8,Tot_spikes9,Tot_spikes10,Tot_spikes11,Tot_spikes12,Tot_spikes13,Tot_spikes14,Tot_spikes15,Tot_spikes16,Tot_spikes17,Tot_spikes18,Tot_spikes19,Tot_spikes20,Tot_spikes21,Tot_spikes22,Tot_spikes23,Tot_spikes24,Tot_spikes25,Tot_spikes26,Tot_spikes27,Tot_spikes28,Tot_spikes29,Tot_spikes30,Tot_spikes31,Tot_spikes32,Tot_spikes33,Tot_spikes34,Tot_spikes35,Tot_spikes36,Tot_spikes37,Tot_spikes38,Tot_spikes39,Tot_spikes40,Tot_spikes41,Tot_spikes42,Tot_spikes43,Tot_spikes44,Tot_spikes45,Tot_spikes46,Tot_spikes47,Tot_spikes48,Tot_spikes49,Tot_spikes50,Tot_spikes51
249405157,0,low,1,NonSocial,7611.24136352539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,2,7,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249599297,0,low,2,NonSocial,7617.16604614258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,6,9,13,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249793412,0,low,3,NonSocial,7623.08996582031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,4,12,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249987541,0,low,4,NonSocial,7629.01431274414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,10,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250181640,1,low,5,NonSocial,7634.93774414062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,9,5,23,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250508471,1,low,6,NonSocial,7644.9118347168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,6,13,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250702591,1,low,7,NonSocial,7650.83590698242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,15,0,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250896713,1,low,8,NonSocial,7656.7600402832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,7,3,20,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251090814,0,low,9,NonSocial,7662.68353271484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,9,9,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251284956,0,low,10,NonSocial,7668.60827636719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,11,0,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251479077,0,low,11,NonSocial,7674.53237915039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,7,10,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251673180,1,low,12,NonSocial,7680.45593261719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,8,9,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251867298,0,low,13,NonSocial,7686.37994384766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,9,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252061439,0,low,14,NonSocial,7692.30465698242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,15,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252255562,0,low,15,NonSocial,7698.22882080078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,6,12,13,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252449682,0,low,16,NonSocial,7704.15289306641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,11,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252643797,0,low,17,NonSocial,7710.07681274414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,5,18,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252837922,0,low,18,NonSocial,7716.00103759766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,7,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253032046,0,low,19,NonSocial,7721.92523193359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,13,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253226144,1,low,20,NonSocial,7727.8486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,7,5,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253547516,1,low,21,NonSocial,7737.65612792969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,14,7,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253741617,0,low,22,NonSocial,7743.57962036133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,8,6,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253935758,0,low,23,NonSocial,7749.50433349609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,6,10,9,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254129859,1,low,24,NonSocial,7755.42782592773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,6,11,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254323979,0,low,25,NonSocial,7761.35189819336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,4,7,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254518124,0,low,26,NonSocial,7767.27673339844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,30,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254712238,0,low,27,NonSocial,7773.20062255859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,8,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254906363,0,low,28,NonSocial,7779.12484741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,12,1,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255100484,0,low,29,NonSocial,7785.04895019531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255294584,1,low,30,NonSocial,7790.97241210938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,6,16,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255488706,0,low,31,NonSocial,7796.89654541016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,7,7,16,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255682846,0,low,32,NonSocial,7802.82122802734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,3,17,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255876969,0,low,33,NonSocial,7808.7453918457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,9,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256071068,1,low,34,NonSocial,7814.66882324219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,6,13,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256265189,0,low,35,NonSocial,7820.59292602539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,3,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256459311,1,low,36,NonSocial,7826.51705932617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,7,12,11,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256653434,0,low,37,NonSocial,7832.44122314453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,6,15,13,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256847574,0,low,38,NonSocial,7838.36590576172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,6,12,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257041694,0,low,39,NonSocial,7844.28997802734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,14,15,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257235815,0,low,40,NonSocial,7850.21408081055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,7,5,20,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257429914,1,low,41,NonSocial,7856.13751220703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,8,11,9,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257624036,0,low,42,NonSocial,7862.06164550781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,7,14,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257818177,0,low,43,NonSocial,7867.98635864258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,10,8,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258012300,0,low,44,NonSocial,7873.91052246094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258206419,0,low,45,NonSocial,7879.83456420898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,8,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258897154,1,med,1,NonSocial,7900.91412353516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,8,10,19,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259091274,0,med,2,NonSocial,7906.83819580078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,14,1,23,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259285397,1,med,3,NonSocial,7912.76235961914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,6,2,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259479516,0,med,4,NonSocial,7918.68640136719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,10,9,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259673637,1,med,5,NonSocial,7924.61050415039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,12,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260005365,0,med,6,NonSocial,7934.73403930664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,13,7,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260199505,0,med,7,NonSocial,7940.65872192383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,6,21,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260393605,1,med,8,NonSocial,7946.58218383789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,14,11,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260587749,1,med,9,NonSocial,7952.50698852539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,5,8,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260781848,0,med,10,NonSocial,7958.43041992188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,6,9,12,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260975967,1,med,11,NonSocial,7964.35446166992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,8,7,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261170089,0,med,12,NonSocial,7970.2785949707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,4,13,13,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261364233,0,med,13,NonSocial,7976.2033996582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,7,5,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261558330,1,med,14,NonSocial,7982.12677001953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,8,9,17,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261752468,1,med,15,NonSocial,7988.05139160156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,3,11,19,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261946572,0,med,16,NonSocial,7993.97497558594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,8,6,14,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262140713,0,med,17,NonSocial,7999.8996887207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,6,6,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262334814,1,med,18,NonSocial,8005.82318115234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,15,3,18,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262528939,0,med,19,NonSocial,8011.74740600586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262723078,0,med,20,NonSocial,8017.67205810547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262997464,0,med,21,NonSocial,8026.04565429688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,11,0,16,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263191590,0,med,22,NonSocial,8031.96990966797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,15,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263385691,1,med,23,NonSocial,8037.89340209961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,8,5,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263579810,0,med,24,NonSocial,8043.81744384766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,1,10,5,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263773952,0,med,25,NonSocial,8049.7421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,9,16,21,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263968071,0,med,26,NonSocial,8055.66622924805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,5,3,20,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264162196,0,med,27,NonSocial,8061.59045410156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,7,8,5,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264356312,0,med,28,NonSocial,8067.51440429688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,8,19,19,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264550437,0,med,29,NonSocial,8073.43862915039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,10,2,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264744536,1,med,30,NonSocial,8079.36206054688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,13,13,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264938658,0,med,31,NonSocial,8085.28619384766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,14,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265132793,0,med,32,NonSocial,8091.21072387695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,17,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265326920,0,med,33,NonSocial,8097.13500976562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,6,14,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265521039,0,med,34,NonSocial,8103.05905151367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,6,1,17,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265715141,1,med,35,NonSocial,8108.98257446289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,6,10,14,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265909262,0,med,36,NonSocial,8114.90667724609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,1,12,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266103404,0,med,37,NonSocial,8120.83142089844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,3,9,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266297519,0,med,38,NonSocial,8126.75534057617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,7,13,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266491624,1,med,39,NonSocial,8132.67895507812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,18,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266685746,0,med,40,NonSocial,8138.60308837891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,7,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266879866,1,med,41,NonSocial,8144.52716064453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,6,11,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267073988,0,med,42,NonSocial,8150.45129394531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,8,10,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267268128,0,med,43,NonSocial,8156.3759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,10,5,17,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267511942,0,med,44,NonSocial,8163.81658935547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,8,8,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267706060,0,med,45,NonSocial,8169.74060058594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,6,4,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240205843,1,high,1,NonSocial,7330.50057983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240399983,1,high,2,NonSocial,7336.42526245117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,10,12,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240594102,1,high,3,NonSocial,7342.34930419922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,6,7,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240788223,1,high,4,NonSocial,7348.27340698242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,10,16,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241044324,1,high,5,NonSocial,7356.08898925781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241238430,0,high,6,NonSocial,7362.01263427734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,13,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241432543,1,high,7,NonSocial,7367.93649291992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,7,10,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241626664,0,high,8,NonSocial,7373.86059570312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,14,9,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241820805,0,high,9,NonSocial,7379.78530883789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,5,8,15,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242014927,0,high,10,NonSocial,7385.70944213867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,9,10,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242209028,1,high,11,NonSocial,7391.63293457031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,9,10,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242403150,0,high,12,NonSocial,7397.55706787109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,7,13,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242597269,1,high,13,NonSocial,7403.48110961914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,8,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242791412,1,high,14,NonSocial,7409.40588378906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,10,12,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242985532,1,high,15,NonSocial,7415.32995605469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,6,11,17,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243179632,0,high,16,NonSocial,7421.25341796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,7,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243373754,1,high,17,NonSocial,7427.17755126953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,7,13,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
